file,max_amp,mean_mag,var_mag,spectral_energy,spectral_centroid,spectral_spread,peak_f1,peak_f2,peak_f3,label
healthy 47.xlsx,0.10139476944459602,0.0028834275167373257,8.729716838416615e-05,0.04302509518279986,201.05365448137795,115.41050082378291,49.0,48.0,197.0,-1
healthy 48.xlsx,0.08046324364840984,0.0025552031345485757,5.643357017880812e-05,0.02833318495692674,234.53385399779341,105.70412123389261,197.0,292.0,198.0,-1
healthy 49.xlsx,0.12374186189845204,0.002701432950351881,9.265871402638455e-05,0.044980404305234145,190.9141561483035,119.23134088381235,49.0,48.0,200.0,-1
healthy 5.xlsx,0.3298055089544505,0.005328277172950023,0.0004981542861418618,0.23694517069813897,202.17971895253368,141.22667431858002,49.0,48.0,50.0,-1
healthy 50.xlsx,0.054829481086926535,0.0020973766021084275,3.33023879331966e-05,0.016965619444920824,224.59632360285252,103.51822375301113,195.0,246.0,197.0,-1
healthy 6.xlsx,0.2402530371909961,0.004190257104319528,0.0002665921778983721,0.12786769462440256,213.04346265779006,153.64253345502237,49.0,48.0,50.0,-1
healthy 7.xlsx,0.28670139727182686,0.005413645938970004,0.00043865529178493376,0.21058328436185714,221.2023255427243,150.78662068902784,49.0,48.0,198.0,-1
healthy 8.xlsx,0.30605882056988776,0.004759837521246289,0.000456247282593907,0.2155065011201569,218.85533762588406,157.53941459048934,49.0,48.0,197.0,-1
healthy 9.xlsx,0.2842669782694429,0.004287741121094226,0.0003880461767201714,0.18289390528876218,211.9962026762066,156.727651674418,49.0,48.0,197.0,-1
ID1.xlsx,0.17581612337380648,0.0035616922212729682,0.0001644743357559051,0.07972199425574167,247.13558645294387,108.0026183217592,199.0,198.0,248.0,-1
ID10.xlsx,0.09919072908814996,0.003304999770150394,0.00010067387658250059,0.05021860502843763,241.20492786087178,120.10376581546035,248.0,247.0,49.0,-1
ID11.xlsx,0.2608046925161034,0.0038887614576083645,0.0003243983635469838,0.15278437314952387,194.30070660154016,133.05049766139823,50.0,49.0,248.0,-1
ID12.xlsx,0.11151845683343709,0.0036759704577472695,0.00013689568422534882,0.06768379936421076,233.0689390772983,122.0185171742392,198.0,248.0,247.0,-1
ID13.xlsx,0.09283094550482929,0.0028195849234920033,6.30479742503572e-05,0.031949115026013275,276.2911004572573,108.30015223065615,249.0,248.0,348.0,-1
ID14.xlsx,0.10125542030436918,0.004279652980788572,0.00013993897279784988,0.07121448109522006,232.63390010219004,116.90545701544193,99.0,198.0,100.0,-1
ID15.xlsx,0.2250608231406659,0.0039684034629277,0.00025597513197276716,0.12227551110780469,230.67095757665192,122.02494137537323,199.0,198.0,50.0,-1
ID16.xlsx,0.0848509807838127,0.00452586326382577,8.718000036778667e-05,0.04844854739278545,248.12807577245346,121.76125565782436,248.0,50.0,99.0,-1
ID17.xlsx,0.12348947348073125,0.004203165545144414,0.0001502833435494498,0.07557747486720251,234.1207790174245,111.20161818060873,198.0,199.0,100.0,-1
ID2.xlsx,0.1620666589587927,0.003433836589241679,0.00016724321025943196,0.08056549979147111,239.89065997526748,111.39877128921509,199.0,198.0,248.0,-1
