file,max_amp,mean_mag,var_mag,spectral_energy,spectral_centroid,spectral_spread,peak_f1,peak_f2,peak_f3,label
F145.xlsx,373.5470228153444,14.82880530520595,371.6697864108853,606352.3345203542,263.6424360598701,194.79845065743527,97.41211041830412,194.82422083660825,195.55664271945264,1
F146.xlsx,288.9051266369841,11.640261007097086,220.93046136273276,365336.7911179795,262.788959320649,191.7098412891232,97.41211041830412,98.14453230114852,195.55664271945264,1
F147.xlsx,435.1283678527164,16.12882489028727,455.0243011363512,733042.3758148488,267.2391594810572,195.1325137839769,97.41211041830412,98.14453230114852,195.55664271945264,1
F148.xlsx,268.7123010749466,12.936233253141053,256.66445007953354,434610.8453806861,269.7676938377964,203.4863993482884,97.41211041830412,195.55664271945264,98.14453230114852,1
f149.xlsx,268.7123010749466,12.936233253141053,256.66445007953354,434610.8453806861,269.7676938377964,203.4863993482884,97.41211041830412,195.55664271945264,98.14453230114852,1
F15.xlsx,870.274718076437,12.156448798851304,2193.2399179152176,2399544.644447169,269.2438404002136,215.785832295239,98.14453230114852,49.07226615057426,147.21679845172278,1
F150.xlsx,308.71873499598263,15.948909676591676,364.6032481109711,634445.242182627,271.55257216109203,207.24582797439135,97.41211041830412,98.14453230114852,195.55664271945264,1
F151.xlsx,208.01545840934804,15.809372639006336,272.324791021341,535317.5806168108,278.1736092588714,206.84210363080413,97.41211041830412,195.55664271945264,98.14453230114852,1
F152.xlsx,234.7993559635188,15.0473343129087,291.25177239536225,530615.8933777969,285.53567801399845,207.9534753380315,98.14453230114852,195.55664271945264,97.41211041830412,1
F153.xlsx,278.00480722642925,15.168597129845336,349.8891122877343,594474.8374546686,278.29336067903694,202.7081290499397,98.14453230114852,195.55664271945264,97.41211041830412,1
F154.xlsx,254.24873612568317,15.121091355681529,345.70115111052945,588707.2687698309,258.9045733818457,202.11526385727643,98.14453230114852,97.41211041830412,195.55664271945264,1
F155.xlsx,363.5627693707714,19.96891102293306,478.0260245198488,898703.017760708,326.2398949828985,213.65494963721167,98.14453230114852,97.41211041830412,293.7011750206012,1
F156.xlsx,343.7579386788505,14.764930046705285,441.1343888561424,675615.986843749,254.7303744449256,198.73455992712016,98.14453230114852,195.55664271945264,97.41211041830412,1
F157.xlsx,187.9028263462844,8.459648345087846,106.59060174276084,182610.1581619411,297.92448079326067,210.29960948542012,97.41211041830412,98.14453230114852,195.55664271945264,1
F158.xlsx,245.1761518699912,15.121705737211276,295.8825942755404,537662.2931453076,295.2834614835119,206.3869645518841,97.41211041830412,98.14453230114852,195.55664271945264,1
F159.xlsx,215.58617556462687,10.359389401887276,205.1349086645097,320263.15388055524,283.7512533895772,202.0822133285996,98.14453230114852,97.41211041830412,195.55664271945264,1
F16.xlsx,922.0717370541744,12.489448039328044,2268.787402102495,2485393.057290309,269.6528010989491,216.53914052798007,98.14453230114852,147.21679845172278,49.07226615057426,1
F160.xlsx,234.26736224363344,9.666684375564705,192.5074831811677,293101.0767479032,274.4462251156648,199.19623407272053,97.41211041830412,195.55664271945264,98.14453230114852,1
f161.xlsx,195.441863092562,8.374778856936487,136.75827993719545,212067.58086078044,269.094115859544,202.0533591354173,97.41211041830412,98.14453230114852,195.55664271945264,1
F162.xlsx,493.6005677316292,14.932247278344446,608.4334977097404,852190.6441536498,258.92320380054923,198.85218421604964,97.41211041830412,98.14453230114852,195.55664271945264,1
F163.xlsx,452.4480657447616,17.463891380967336,420.2089020282474,743326.3142993345,329.97019557139106,216.19181220119447,97.41211041830412,98.14453230114852,195.55664271945264,1
F164.xlsx,461.21778860496056,17.92115905461759,413.6832116513713,753222.4323500801,318.35216985769006,216.7754994006428,97.41211041830412,98.14453230114852,195.55664271945264,1
F165.xlsx,556.8324435090394,18.87306265308141,637.7024025272761,1018742.2688452728,309.8718302852252,212.85094313757537,97.41211041830412,98.14453230114852,195.55664271945264,1
F166.xlsx,330.88909851703534,15.30351838391511,261.33459858625343,507920.5803509082,325.6445386826378,214.90288253475924,97.41211041830412,195.55664271945264,98.14453230114852,1
